"persons-name","persons-birth_date","persons-sources","persons-summary","persons-image","persons-name","organizations-name","organizations-classification","posts-label","posts-role","posts-cargonominal","posts-cargotipo","posts-cargoclase","posts-duracioncargo","memberships-label","memberships-role","memberships-cargonominal","memberships-start_date","memberships-end_date","memberships-end_date_accuracy","memberships-start_date_accuracy"
"Juan José Cavellari","","","","","Juan José Cavellari","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1985-06-04","",""
"Pastor Ventura O. Chazarreta","","","","","Pastor Ventura O. Chazarreta","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1985-06-04","",""
"Jorge Victor Chehin","","","","","Jorge Victor Chehin","Tucumán","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1985-06-04","",""
"Ricardo Miguel Colombo","","","","","Ricardo Miguel Colombo","San Juan","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1986-10-25","",""
"Jorge Alfredo Conolly","","","","","Jorge Alfredo Conolly","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1987-12-10","",""
"Augusto Conte Mac Donell","","","","","Augusto Conte Mac Donell","Ciudad de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1987-12-10","",""
"Norberto Luis Copello","","","","","Norberto Luis Copello","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1987-12-10","",""
"Ricardo Jesus Cornaglia","","","","","Ricardo Jesus Cornaglia","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1987-12-10","",""
"Lorenzo Juan Cortese","","","","","Lorenzo Juan Cortese","Córdoba","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1987-12-10","",""
"Julio Cortina","","","","","Julio Cortina","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1986-07-10","",""
"Sebastian Alejandro Corpacci","","","","","Sebastian Alejandro Corpacci","Catamarca","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1985-06-04","",""
"Julio C. Corzo","","","","","Julio C. Corzo","La Rioja","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1987-12-10","",""
"José Costarelli","","","","","José Costarelli","Santa Fe","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1985-08-04","",""
"Atilio Arnoldo Curatolo","","","","","Atilio Arnoldo Curatolo","Santa Fe","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1987-12-10","",""
"Hector Horacio Dalmau","","","","","Hector Horacio Dalmau","Misiones","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1987-12-10","",""
"Ricardo Daud","","","","","Ricardo Daud","Salta","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1987-12-10","",""
"Hector Gino Deballi","","","","","Hector Gino Deballi","La Pampa","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1985-06-04","",""
"Jorge Raul Delfino","","","","","Jorge Raul Delfino","Corrientes","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1987-12-10","",""
"Héctor Di Cio","","","","","Héctor Di Cio","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1987-12-10","",""
"Dolores Diaz De Aguero","","","","","Dolores Diaz De Aguero","Córdoba","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1987-12-10","",""
"Julio Leonardo Dimasi","","","","","Julio Leonardo Dimasi","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1987-12-10","",""
"Antonio Juan Diaz Lecam","","","","","Antonio Juan Diaz Lecam","San Juan","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1985-06-04","",""
"Dardo N. Dominguez Ferreyra","","","","","Dardo N. Dominguez Ferreyra","Jujuy","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1987-12-10","",""
"Fernando Donaires","","","","","Fernando Donaires","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1985-06-04","",""
"Guillermo F. Douglas Rincon","","","","","Guillermo F. Douglas Rincon","La Rioja","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1987-12-10","",""
